Frame,Left Eye H,Left Eye V,Right Eye H,Right Eye V,Avg H,Avg V,Fixation
106.0,275.0,171.0,368.0,164.0,321.5,167.5,0
107.0,275.0,170.0,367.0,163.0,321.0,166.5,0
108.0,274.0,170.0,365.0,162.0,319.5,166.0,0
109.0,274.0,170.0,365.0,162.0,319.5,166.0,0
110.0,275.0,170.0,365.0,162.0,320.0,166.0,0
111.0,274.0,170.0,364.0,162.0,319.0,166.0,0
112.0,274.0,170.0,365.0,162.0,319.5,166.0,0
113.0,274.0,169.0,376.0,161.0,325.0,165.0,0
114.0,274.0,168.0,377.0,161.0,325.5,164.5,0
115.0,284.0,168.0,388.0,161.0,336.0,164.5,0
116.0,289.0,167.0,392.0,160.0,340.5,163.5,0
117.0,289.0,166.0,392.0,160.0,340.5,163.0,0
118.0,290.0,166.0,395.0,160.0,342.5,163.0,0
119.0,291.0,166.0,394.0,160.0,342.5,163.0,0
120.0,288.0,168.0,395.0,162.0,341.5,165.0,0
121.0,279.0,172.0,371.0,166.0,325.0,169.0,0
122.0,278.0,170.0,393.0,165.0,335.5,167.5,0
123.0,279.0,168.0,393.0,163.0,336.0,165.5,0
124.0,290.0,169.0,394.0,163.0,342.0,166.0,0
125.0,277.0,169.0,380.0,162.0,328.5,165.5,0
126.0,278.0,170.0,380.0,162.0,329.0,166.0,0
127.0,278.0,170.0,380.0,162.0,329.0,166.0,0
128.0,276.0,170.0,371.0,163.0,323.5,166.5,0
129.0,276.0,170.0,368.0,163.0,322.0,166.5,0
130.0,276.0,171.0,369.0,162.0,322.5,166.5,0
131.0,275.0,169.0,378.0,162.0,326.5,165.5,0
132.0,277.0,168.0,379.0,161.0,328.0,164.5,0
133.0,288.0,167.0,390.0,161.0,339.0,164.0,0
134.0,289.0,168.0,392.0,161.0,340.5,164.5,0
135.0,289.0,168.0,393.0,161.0,341.0,164.5,0
136.0,289.0,168.0,393.0,162.0,341.0,165.0,0
137.0,289.0,168.0,394.0,163.0,341.5,165.5,0
138.0,290.0,167.0,393.0,161.0,341.5,164.0,0
139.0,278.0,167.0,392.0,161.0,335.0,164.0,0
140.0,265.0,170.0,367.0,165.0,316.0,167.5,0
141.0,264.0,169.0,366.0,164.0,315.0,166.5,0
142.0,266.0,169.0,366.0,162.0,316.0,165.5,0
143.0,275.0,170.0,370.0,162.0,322.5,166.0,0
144.0,275.0,170.0,378.0,161.0,326.5,165.5,0
145.0,276.0,169.0,378.0,161.0,327.0,165.0,0
146.0,276.0,171.0,371.0,163.0,323.5,167.0,0
147.0,276.0,170.0,378.0,162.0,327.0,166.0,0
148.0,277.0,171.0,379.0,163.0,328.0,167.0,0
149.0,277.0,171.0,375.0,164.0,326.0,167.5,0
150.0,276.0,171.0,378.0,164.0,327.0,167.5,0
151.0,276.0,171.0,374.0,164.0,325.0,167.5,0
152.0,276.0,171.0,378.0,164.0,327.0,167.5,0
153.0,276.0,171.0,378.0,163.0,327.0,167.0,0
154.0,276.0,170.0,379.0,164.0,327.5,167.0,0
155.0,277.0,170.0,378.0,164.0,327.5,167.0,0
156.0,276.0,171.0,378.0,164.0,327.0,167.5,0
157.0,276.0,172.0,379.0,165.0,327.5,168.5,0
158.0,275.0,172.0,379.0,166.0,327.0,169.0,0
159.0,276.0,173.0,380.0,167.0,328.0,170.0,0
160.0,276.0,173.0,379.0,167.0,327.5,170.0,0
161.0,276.0,172.0,380.0,167.0,328.0,169.5,0
162.0,276.0,172.0,389.0,167.0,332.5,169.5,0
163.0,276.0,172.0,380.0,166.0,328.0,169.0,0
164.0,276.0,172.0,380.0,166.0,328.0,169.0,0
165.0,277.0,172.0,380.0,166.0,328.5,169.0,0
166.0,275.0,172.0,379.0,167.0,327.0,169.5,0
167.0,276.0,173.0,379.0,167.0,327.5,170.0,0
168.0,275.0,173.0,379.0,167.0,327.0,170.0,0
169.0,276.0,173.0,379.0,167.0,327.5,170.0,0
170.0,276.0,173.0,379.0,167.0,327.5,170.0,0
171.0,275.0,174.0,379.0,167.0,327.0,170.5,0
172.0,286.0,172.0,390.0,167.0,338.0,169.5,0
173.0,287.0,172.0,391.0,166.0,339.0,169.0,0
174.0,287.0,171.0,391.0,166.0,339.0,168.5,0
175.0,286.0,172.0,389.0,167.0,337.5,169.5,0
176.0,287.0,172.0,388.0,167.0,337.5,169.5,0
177.0,277.0,173.0,385.0,167.0,331.0,170.0,0
178.0,276.0,173.0,371.0,166.0,323.5,169.5,0
179.0,267.0,173.0,369.0,167.0,318.0,170.0,0
180.0,266.0,173.0,369.0,167.0,317.5,170.0,0
181.0,266.0,172.0,369.0,167.0,317.5,169.5,0
182.0,265.0,172.0,368.0,166.0,316.5,169.0,0
183.0,275.0,173.0,369.0,165.0,322.0,169.0,0
184.0,275.0,173.0,372.0,165.0,323.5,169.0,0
185.0,286.0,171.0,390.0,165.0,338.0,168.0,0
186.0,288.0,171.0,393.0,165.0,340.5,168.0,0
187.0,288.0,171.0,393.0,165.0,340.5,168.0,0
188.0,288.0,171.0,393.0,166.0,340.5,168.5,0
189.0,287.0,170.0,392.0,165.0,339.5,167.5,0
190.0,277.0,175.0,383.0,170.0,330.0,172.5,0
191.0,277.0,175.0,376.0,168.0,326.5,171.5,0
192.0,277.0,175.0,373.0,168.0,325.0,171.5,0
193.0,286.0,172.0,390.0,165.0,338.0,168.5,0
194.0,287.0,171.0,392.0,165.0,339.5,168.0,0
195.0,288.0,171.0,393.0,165.0,340.5,168.0,0
196.0,288.0,171.0,393.0,166.0,340.5,168.5,0
